gene_name,start,end,seqname,region
RBM5,50088919,50119021,chr3,chr_3_loc_50000000
SEMA3F,50155045,50189075,chr3,chr_3_loc_50000000
GNAT1,50191610,50197696,chr3,chr_3_loc_50000000
SLC38A3,50205246,50221486,chr3,chr_3_loc_50000000
SEMA3B,50267558,50277546,chr3,chr_3_loc_50250000
LSMEM2,50279087,50288114,chr3,chr_3_loc_50250000
IFRD2,50287732,50292918,chr3,chr_3_loc_50250000
HYAL3,50292831,50299405,chr3,chr_3_loc_50250000
NAA80,50296402,50299416,chr3,chr_3_loc_50250000
HYAL1,50299890,50312381,chr3,chr_3_loc_50250000
HYAL2,50317790,50322782,chr3,chr_3_loc_50250000
TUSC2,50320027,50328251,chr3,chr_3_loc_50250000
RASSF1,50329782,50340980,chr3,chr_3_loc_50250000
ZMYND10,50341110,50345732,chr3,chr_3_loc_50250000
NPRL2,50347330,50350826,chr3,chr_3_loc_50250000
CYB561D2,50350845,50358460,chr3,chr_3_loc_50250000
ENSG00000272104,50350892,50367923,chr3,chr_3_loc_50250000
TMEM115,50354750,50359521,chr3,chr_3_loc_50250000
C3orf18,50558025,50571027,chr3,chr_3_loc_50500000
HEMK1,50569152,50596168,chr3,chr_3_loc_50500000
CISH,50606489,50611774,chr3,chr_3_loc_50500000
MAPKAPK3,50611520,50649291,chr3,chr_3_loc_50500000
MANF,51385291,51389397,chr3,chr_3_loc_51250000
RBM15B,51391285,51397908,chr3,chr_3_loc_51250000
RAD54L2,51538719,51668667,chr3,chr_3_loc_51500000
TEX264,51662693,51704323,chr3,chr_3_loc_51500000
GRM2,51707068,51718613,chr3,chr_3_loc_51500000
IQCF6,51778561,51779241,chr3,chr_3_loc_51750000
ENSG00000285749,51798803,51830856,chr3,chr_3_loc_51750000
IQCF3,51826883,51833389,chr3,chr_3_loc_51750000
IQCF2,51861615,51863424,chr3,chr_3_loc_51750000
IQCF5,51873721,51875601,chr3,chr_3_loc_51750000
IQCF1,51894876,51903353,chr3,chr_3_loc_51750000
RRP9,51933429,51941904,chr3,chr_3_loc_51750000
PARP3,51942345,51948867,chr3,chr_3_loc_51750000
GPR62,51955381,51957499,chr3,chr_3_loc_51750000
PCBP4,51957454,51974016,chr3,chr_3_loc_51750000
ABHD14B,51968510,51983409,chr3,chr_3_loc_51750000
ABHD14A,51971426,51981196,chr3,chr_3_loc_51750000
ABHD14A-ACY1,51974706,51989183,chr3,chr_3_loc_51750000
ACY1,51983340,51989197,chr3,chr_3_loc_51750000
RPL29,51993522,51995895,chr3,chr_3_loc_51750000
DUSP7,52048919,52056571,chr3,chr_3_loc_52000000
POC1A,52075226,52154690,chr3,chr_3_loc_52000000
ALAS1,52198086,52214327,chr3,chr_3_loc_52000000
TLR9,52221080,52225645,chr3,chr_3_loc_52000000
ENSG00000173366,52221081,52231190,chr3,chr_3_loc_52000000
TWF2,52228612,52246788,chr3,chr_3_loc_52000000
WDR82,52254434,52288020,chr3,chr_3_loc_52250000
GLYCTK,52287089,52295257,chr3,chr_3_loc_52250000
DNAH1,52316319,52400492,chr3,chr_3_loc_52250000
BAP1,52401008,52410008,chr3,chr_3_loc_52250000
PHF7,52410660,52423641,chr3,chr_3_loc_52250000
SEMA3G,52433035,52445103,chr3,chr_3_loc_52250000
TNNC1,52451100,52454041,chr3,chr_3_loc_52250000
NISCH,52455118,52493068,chr3,chr_3_loc_52250000
NT5DC2,52524385,52535054,chr3,chr_3_loc_52500000
UQCC5,52534013,52579237,chr3,chr_3_loc_52500000
PBRM1,52545352,52685917,chr3,chr_3_loc_52500000
GNL3,52681156,52694497,chr3,chr_3_loc_52500000
GLT8D1,52694486,52706032,chr3,chr_3_loc_52500000
SPCS1,52704955,52711148,chr3,chr_3_loc_52500000
ITIH1,52777595,52792068,chr3,chr_3_loc_52750000
ITIH3,52794768,52808799,chr3,chr_3_loc_52750000
ITIH4,52812962,52830688,chr3,chr_3_loc_52750000
ENSG00000243696,52813282,52835729,chr3,chr_3_loc_52750000
MUSTN1,52833114,52835019,chr3,chr_3_loc_52750000
STIMATE-MUSTN1,52833121,52897562,chr3,chr_3_loc_52750000
STIMATE,52836219,52897548,chr3,chr_3_loc_52750000
RFT1,53088483,53130453,chr3,chr_3_loc_53000000
PRKCD,53156009,53192717,chr3,chr_3_loc_53000000
DCP1A,53283429,53347586,chr3,chr_3_loc_53250000
CHDH,53812335,53846419,chr3,chr_3_loc_53750000
IL17RB,53846568,53865794,chr3,chr_3_loc_53750000
ACTR8,53867066,53882152,chr3,chr_3_loc_53750000
SELENOK,53884417,53891885,chr3,chr_3_loc_53750000
LRTM1,54918231,54967088,chr3,chr_3_loc_54750000
WNT5A,55465715,55490539,chr3,chr_3_loc_55250000
CCDC66,56557161,56621837,chr3,chr_3_loc_56500000
TASOR,56620132,56683265,chr3,chr_3_loc_56500000
SPATA12,57060664,57075432,chr3,chr_3_loc_57000000
IL17RD,57089982,57170306,chr3,chr_3_loc_57000000
HESX1,57197838,57227606,chr3,chr_3_loc_57000000
ASB14,57268342,57292685,chr3,chr_3_loc_57250000
PDE12,57556274,57566848,chr3,chr_3_loc_57500000
ARF4,57571363,57598220,chr3,chr_3_loc_57500000
DENND6A,57625454,57693077,chr3,chr_3_loc_57500000
SLMAP,57755450,57930003,chr3,chr_3_loc_57750000
FLNB,58008398,58172251,chr3,chr_3_loc_58000000
DNASE1L3,58192257,58214697,chr3,chr_3_loc_58000000
RPP14,58306245,58324695,chr3,chr_3_loc_58250000
HTD2,58306262,58320193,chr3,chr_3_loc_58250000
PXK,58332880,58426127,chr3,chr_3_loc_58250000
PDHB,58427630,58433857,chr3,chr_3_loc_58250000
ACOX2,58505136,58537283,chr3,chr_3_loc_58500000
FAM107A,58564117,58627610,chr3,chr_3_loc_58500000
FAM3D,58633946,58666834,chr3,chr_3_loc_58500000
C3orf14,62319015,62336213,chr3,chr_3_loc_62250000
FEZF2,62369681,62374324,chr3,chr_3_loc_62250000
SNTN,63652675,63679020,chr3,chr_3_loc_63500000
C3orf49,63819299,63848636,chr3,chr_3_loc_63750000
THOC7,63833870,63863868,chr3,chr_3_loc_63750000
PSMD6,64010550,64024010,chr3,chr_3_loc_64000000
ADAMTS9,64515654,64688000,chr3,chr_3_loc_64500000
TMF1,69019827,69052339,chr3,chr_3_loc_69000000
UBA3,69054730,69080408,chr3,chr_3_loc_69000000
ARL6IP5,69084937,69106092,chr3,chr_3_loc_69000000
LMOD3,69106065,69123032,chr3,chr_3_loc_69000000
GPR27,71753855,71756496,chr3,chr_3_loc_71750000
PROK2,71771655,71785206,chr3,chr_3_loc_71750000
RYBP,72371825,72446621,chr3,chr_3_loc_72250000
GXYLT2,72888046,72998138,chr3,chr_3_loc_72750000
EBLN2,73061659,73063337,chr3,chr_3_loc_73000000
FRG2C,75664328,75667220,chr3,chr_3_loc_75500000
VGLL3,86876388,86991149,chr3,chr_3_loc_86750000
POU1F1,87259404,87276584,chr3,chr_3_loc_87250000
HTR1F,87792706,87993839,chr3,chr_3_loc_87750000
CGGBP1,88051944,88149885,chr3,chr_3_loc_88000000
ENSG00000288654,88058139,88058216,chr3,chr_3_loc_88000000
ZNF654,88059255,88144660,chr3,chr_3_loc_88000000
C3orf38,88149959,88168729,chr3,chr_3_loc_88000000
CSNKA2IP,88338416,88467594,chr3,chr_3_loc_88250000
PROS1,93873051,93980003,chr3,chr_3_loc_93750000
STX19,94014365,94028597,chr3,chr_3_loc_94000000
DHFR2,94047836,94063389,chr3,chr_3_loc_94000000
NSUN3,94062980,94131832,chr3,chr_3_loc_94000000
ARL6,97764521,97801229,chr3,chr_3_loc_97750000
CRYBG3,97822011,97944984,chr3,chr_3_loc_97750000
RIOX2,97941818,97972457,chr3,chr_3_loc_97750000
OR5AC1,98064472,98065396,chr3,chr_3_loc_98000000
OR5AC2,98087173,98088102,chr3,chr_3_loc_98000000
OR5H1,98130721,98138548,chr3,chr_3_loc_98000000
OR5H14,98147479,98156614,chr3,chr_3_loc_98000000
OR5H15,98166696,98169774,chr3,chr_3_loc_98000000
OR5H6,98263252,98265356,chr3,chr_3_loc_98250000
OR5H2,98282505,98284070,chr3,chr_3_loc_98250000
OR5H8,98306752,98312843,chr3,chr_3_loc_98250000
OR5K4,98353854,98354819,chr3,chr_3_loc_98250000
OR5K3,98390666,98391631,chr3,chr_3_loc_98250000
OR5K1,98463201,98472924,chr3,chr_3_loc_98250000
OR5K2,98497681,98498631,chr3,chr_3_loc_98250000
ENSG00000285635,98521133,98585498,chr3,chr_3_loc_98500000
GPR15,98531978,98534681,chr3,chr_3_loc_98500000
CPOX,98579446,98593648,chr3,chr_3_loc_98500000
DCBLD2,98795941,98901695,chr3,chr_3_loc_98750000
TBC1D23,100260992,100325251,chr3,chr_3_loc_100250000
NIT2,100334739,100361635,chr3,chr_3_loc_100250000
TOMM70,100363431,100401089,chr3,chr_3_loc_100250000
LNP1,100401532,100456319,chr3,chr_3_loc_100250000
ADGRG7,100609601,100695479,chr3,chr_3_loc_100500000
TFG,100709295,100748964,chr3,chr_3_loc_100500000
TRMT10C,101561868,101566446,chr3,chr_3_loc_101500000
PCNP,101574180,101594465,chr3,chr_3_loc_101500000
ZBTB11,101648889,101677135,chr3,chr_3_loc_101500000
RPL24,101681091,101686733,chr3,chr_3_loc_101500000
NXPE3,101779177,101843743,chr3,chr_3_loc_101750000
NFKBIZ,101827991,101861022,chr3,chr_3_loc_101750000
CCDC54,107377439,107378635,chr3,chr_3_loc_107250000
CD47,108043091,108091862,chr3,chr_3_loc_108000000
IFT57,108160812,108222435,chr3,chr_3_loc_108000000
HHLA2,108296529,108378285,chr3,chr_3_loc_108250000
CIP2A,108549864,108589644,chr3,chr_3_loc_108500000
DZIP3,108589705,108694840,chr3,chr_3_loc_108500000
TRAT1,108822770,108855005,chr3,chr_3_loc_108750000
GUCA1C,108907792,108953879,chr3,chr_3_loc_108750000
C3orf85,109118252,109151401,chr3,chr_3_loc_109000000
DPPA2,109293788,109316517,chr3,chr_3_loc_109250000
DPPA4,109326144,109337546,chr3,chr_3_loc_109250000
ZBED2,111592900,111595346,chr3,chr_3_loc_111500000
ABHD10,111979010,111993368,chr3,chr_3_loc_111750000
TMPRSS7,112034736,112081269,chr3,chr_3_loc_112000000
C3orf52,112086335,112131004,chr3,chr_3_loc_112000000
GCSAM,112120839,112133270,chr3,chr_3_loc_112000000
CD200,112332347,112362812,chr3,chr_3_loc_112250000
BTLA,112463966,112499472,chr3,chr_3_loc_112250000
ATG3,112532510,112562046,chr3,chr_3_loc_112500000
SLC35A5,112561709,112585579,chr3,chr_3_loc_112500000
CCDC80,112596797,112649530,chr3,chr_3_loc_112500000
CD200R1L,112815709,112846864,chr3,chr_3_loc_112750000
CD200R1,112921205,112975103,chr3,chr_3_loc_112750000
NEPRO,113002444,113019861,chr3,chr_3_loc_113000000
CFAP44,113286930,113441610,chr3,chr_3_loc_113250000
SIDT1,113532555,113629575,chr3,chr_3_loc_113500000
USF3,113648385,113696646,chr3,chr_3_loc_113500000
NAA50,113716458,113746300,chr3,chr_3_loc_113500000
GRAMD1C,113828182,113947174,chr3,chr_3_loc_113750000
ZDHHC23,113947901,113965401,chr3,chr_3_loc_113750000
QTRT2,114005833,114088422,chr3,chr_3_loc_114000000
DRD3,114127580,114199407,chr3,chr_3_loc_114000000
ZNF80,114234631,114237578,chr3,chr_3_loc_114000000
TIGIT,114276913,114310288,chr3,chr_3_loc_114250000
GAP43,115623510,115721490,chr3,chr_3_loc_115500000
TEX55,119146151,119160042,chr3,chr_3_loc_119000000
ENSG00000251012,119147375,119187807,chr3,chr_3_loc_119000000
UPK1B,119173517,119205143,chr3,chr_3_loc_119000000
B4GALT4,119211732,119240946,chr3,chr_3_loc_119000000
ARHGAP31,119294383,119420714,chr3,chr_3_loc_119250000
TMEM39A,119428949,119468830,chr3,chr_3_loc_119250000
POGLUT1,119468963,119494708,chr3,chr_3_loc_119250000
CD80,119524293,119559614,chr3,chr_3_loc_119500000
ADPRH,119579268,119589945,chr3,chr_3_loc_119500000
PLA1A,119597875,119629811,chr3,chr_3_loc_119500000
POPDC2,119636457,119665324,chr3,chr_3_loc_119500000
COX17,119654513,119677454,chr3,chr_3_loc_119500000
NR1I2,119780484,119818487,chr3,chr_3_loc_119750000
LRRC58,120324509,120349354,chr3,chr_3_loc_120250000
FSTL1,120392293,120451016,chr3,chr_3_loc_120250000
NDUFB4,120596328,120602507,chr3,chr_3_loc_120500000
HGD,120628172,120682269,chr3,chr_3_loc_120500000
RABL3,120684938,120742993,chr3,chr_3_loc_120500000
ARGFX,121567949,121590622,chr3,chr_3_loc_121500000
FBXO40,121593379,121630295,chr3,chr_3_loc_121500000
HCLS1,121631399,121660927,chr3,chr_3_loc_121500000
GOLGB1,121663199,121749966,chr3,chr_3_loc_121500000
IQCB1,121769761,121835079,chr3,chr_3_loc_121750000
EAF2,121835183,121886526,chr3,chr_3_loc_121750000
SLC15A2,121894401,121944188,chr3,chr_3_loc_121750000
CD86,122055362,122121139,chr3,chr_3_loc_122000000
CSTA,122325248,122341969,chr3,chr_3_loc_122250000
MIX23,122359591,122383231,chr3,chr_3_loc_122250000
FAM162A,122384161,122412334,chr3,chr_3_loc_122250000
WDR5B,122411846,122416062,chr3,chr_3_loc_122250000
PARP9,122527924,122564577,chr3,chr_3_loc_122500000
DTX3L,122564338,122575203,chr3,chr_3_loc_122500000
PARP15,122577628,122639047,chr3,chr_3_loc_122500000
PARP14,122680839,122730840,chr3,chr_3_loc_122500000
SLC49A4,122795069,122881139,chr3,chr_3_loc_122750000
PDIA5,123067025,123225227,chr3,chr_3_loc_123000000
ADCY5,123282296,123449090,chr3,chr_3_loc_123250000
CCDC14,123897305,123961408,chr3,chr_3_loc_123750000
ROPN1,123968521,123992178,chr3,chr_3_loc_123750000
UMPS,124730433,124749273,chr3,chr_3_loc_124500000
ITGB5,124761948,124901418,chr3,chr_3_loc_124750000
MUC13,124905442,124953819,chr3,chr_3_loc_124750000
SLC12A8,125082636,125212864,chr3,chr_3_loc_125000000
OSBPL11,125528858,125595497,chr3,chr_3_loc_125500000
ROPN1B,125969160,125983454,chr3,chr_3_loc_125750000
SLC41A3,126006357,126101561,chr3,chr_3_loc_126000000
ALDH1L1,126103562,126197994,chr3,chr_3_loc_126000000
KLF15,126342635,126357408,chr3,chr_3_loc_126250000
CFAP100,126394909,126436556,chr3,chr_3_loc_126250000
ZXDC,126437601,126475891,chr3,chr_3_loc_126250000
CHST13,126524155,126543291,chr3,chr_3_loc_126500000
C3orf22,126526999,126558965,chr3,chr_3_loc_126500000
TXNRD3,126571779,126655124,chr3,chr_3_loc_126500000
PRR23E,127193131,127198185,chr3,chr_3_loc_127000000
PRR20G,127283783,127288046,chr3,chr_3_loc_127250000
TPRA1,127571232,127598267,chr3,chr_3_loc_127500000
MCM2,127598410,127622436,chr3,chr_3_loc_127500000
PODXL2,127629185,127672802,chr3,chr_3_loc_127500000
ABTB1,127672935,127680926,chr3,chr_3_loc_127500000
KBTBD12,127915232,127987671,chr3,chr_3_loc_127750000
SEC61A1,128051641,128071705,chr3,chr_3_loc_128000000
RUVBL1,128064778,128153914,chr3,chr_3_loc_128000000
DNAJB8,128462437,128466968,chr3,chr_3_loc_128250000
GATA2,128479427,128493201,chr3,chr_3_loc_128250000
RPN1,128619969,128681075,chr3,chr_3_loc_128500000
ACAD9,128879596,128924003,chr3,chr_3_loc_128750000
EFCC1,129001304,129040742,chr3,chr_3_loc_129000000
GP9,129060779,129062406,chr3,chr_3_loc_129000000
RAB43,129087569,129122801,chr3,chr_3_loc_129000000
ISY1-RAB43,129087575,129161036,chr3,chr_3_loc_129000000
ISY1,129127415,129161063,chr3,chr_3_loc_129000000
CNBP,129167827,129183922,chr3,chr_3_loc_129000000
HMCES,129278828,129306186,chr3,chr_3_loc_129250000
H1-10,129314771,129316286,chr3,chr_3_loc_129250000
EFCAB12,129401321,129428636,chr3,chr_3_loc_129250000
MBD4,129430947,129440179,chr3,chr_3_loc_129250000
RHO,129528639,129535344,chr3,chr_3_loc_129500000
H1-8,129543175,129551467,chr3,chr_3_loc_129500000
PLXND1,129555214,129606676,chr3,chr_3_loc_129500000
TRH,129974688,129977935,chr3,chr_3_loc_129750000
ALG1L2,130081831,130113227,chr3,chr_3_loc_130000000
COL6A5,130345516,130484846,chr3,chr_3_loc_130250000
COL6A6,130517177,130677044,chr3,chr_3_loc_130500000
PIK3R4,130678934,130746829,chr3,chr_3_loc_130500000
ASTE1,131013875,131027649,chr3,chr_3_loc_131000000
NUDT16,131381671,131388830,chr3,chr_3_loc_131250000
ACP3,132317369,132368302,chr3,chr_3_loc_132250000
ACAD11,132558138,132660082,chr3,chr_3_loc_132500000
NPHP3-ACAD11,132558142,132722459,chr3,chr_3_loc_132500000
ACKR4,132597270,132618967,chr3,chr_3_loc_132500000
UBA5,132654446,132679794,chr3,chr_3_loc_132500000
NPHP3,132680609,132722432,chr3,chr_3_loc_132500000
BFSP2,133400056,133475222,chr3,chr_3_loc_133250000
CDV3,133573686,133590261,chr3,chr_3_loc_133500000
TOPBP1,133598175,133662380,chr3,chr_3_loc_133500000
SRPRB,133784023,133825772,chr3,chr_3_loc_133750000
RAB6B,133824235,133895882,chr3,chr_3_loc_133750000
AMOTL2,134355347,134375479,chr3,chr_3_loc_134250000
ANAPC13,134477706,134486716,chr3,chr_3_loc_134250000
KY,134599923,134651636,chr3,chr_3_loc_134500000
MSL2,136148917,136197241,chr3,chr_3_loc_136000000
PCCB,136250340,136337896,chr3,chr_3_loc_136250000
SLC35G2,136818647,136855888,chr3,chr_3_loc_136750000
NCK1,136862208,136951606,chr3,chr_3_loc_136750000
SOX14,137764315,137766334,chr3,chr_3_loc_137750000
DZIP1L,138061990,138115818,chr3,chr_3_loc_138000000
A4GNT,138123713,138132390,chr3,chr_3_loc_138000000
DBR1,138160988,138174949,chr3,chr_3_loc_138000000
NME9,138261437,138329886,chr3,chr_3_loc_138250000
MRAS,138347648,138405534,chr3,chr_3_loc_138250000
ESYT3,138434586,138481686,chr3,chr_3_loc_138250000
FAIM,138608606,138633376,chr3,chr_3_loc_138500000
FOXL2,138944224,138947137,chr3,chr_3_loc_138750000
FOXL2NB,138947217,138953990,chr3,chr_3_loc_138750000
PRR23A,139003962,139006268,chr3,chr_3_loc_139000000
PRR23B,139019031,139020926,chr3,chr_3_loc_139000000
PRR23C,139042102,139044892,chr3,chr_3_loc_139000000
COPB2,139353946,139389736,chr3,chr_3_loc_139250000
RBP2,139452884,139480747,chr3,chr_3_loc_139250000
RBP1,139517434,139539829,chr3,chr_3_loc_139500000
NMNAT3,139560180,139678017,chr3,chr_3_loc_139500000
TRIM42,140678064,140701150,chr3,chr_3_loc_140500000
SLC25A36,140941830,140980995,chr3,chr_3_loc_140750000
SPSB4,141051347,141148611,chr3,chr_3_loc_141000000
ZBTB38,141324213,141449792,chr3,chr_3_loc_141250000
RNF7,141738249,141747560,chr3,chr_3_loc_141500000
GRK7,141763408,141819352,chr3,chr_3_loc_141750000
ATP1B3,141876124,141926549,chr3,chr_3_loc_141750000
GK5,142157527,142225592,chr3,chr_3_loc_142000000
XRN1,142306607,142448062,chr3,chr_3_loc_142250000
PLS1,142596393,142713664,chr3,chr_3_loc_142500000
PCOLCE2,142815922,142889206,chr3,chr_3_loc_142750000
PAQR9,142949164,142963674,chr3,chr_3_loc_142750000
CHST2,143119771,143124014,chr3,chr_3_loc_143000000
PLOD2,146035139,146163725,chr3,chr_3_loc_146000000
PLSCR2,146391421,146495991,chr3,chr_3_loc_146250000
PLSCR1,146515180,146544856,chr3,chr_3_loc_146500000
PLSCR5,146576555,146605346,chr3,chr_3_loc_146500000
ZIC4,147386046,147406809,chr3,chr_3_loc_147250000
AGTR1,148697784,148743008,chr3,chr_3_loc_148500000
CPB1,148791102,148860187,chr3,chr_3_loc_148750000
CPA3,148865296,148897203,chr3,chr_3_loc_148750000
HLTF,149030127,149086554,chr3,chr_3_loc_149000000
HPS3,149129638,149173732,chr3,chr_3_loc_149000000
CP,149162410,149221829,chr3,chr_3_loc_149000000
TM4SF18,149318498,149334414,chr3,chr_3_loc_149250000
TM4SF1,149369022,149377692,chr3,chr_3_loc_149250000
WWTR1,149517235,149736714,chr3,chr_3_loc_149500000
ANKUB1,149761100,149968385,chr3,chr_3_loc_149750000
RNF13,149812770,149962139,chr3,chr_3_loc_149750000
TSC22D2,150408298,150466422,chr3,chr_3_loc_150250000
SERP1,150541998,150603228,chr3,chr_3_loc_150500000
EIF2A,150546678,150586016,chr3,chr_3_loc_150500000
SELENOT,150602875,150630436,chr3,chr_3_loc_150500000
ERICH6,150659885,150703971,chr3,chr_3_loc_150500000
MINDY4B,150870376,150905439,chr3,chr_3_loc_150750000
ENSG00000260234,150882997,150941743,chr3,chr_3_loc_150750000
CLRN1,150926163,150972727,chr3,chr_3_loc_150750000
GPR171,151197832,151203216,chr3,chr_3_loc_151000000
GPR87,151294086,151316820,chr3,chr_3_loc_151250000
P2RY13,151326312,151329549,chr3,chr_3_loc_151250000
P2RY12,151336843,151384753,chr3,chr_3_loc_151250000
IGSF10,151425384,151461061,chr3,chr_3_loc_151250000
AADAC,151814073,151828488,chr3,chr_3_loc_151750000
SUCNR1,151873643,151884619,chr3,chr_3_loc_151750000
P2RY1,152835131,152841439,chr3,chr_3_loc_152750000
RAP2B,153162226,153170627,chr3,chr_3_loc_153000000
DHX36,154272546,154324487,chr3,chr_3_loc_154250000
GPR149,154334943,154430190,chr3,chr_3_loc_154250000
MME,155024124,155183704,chr3,chr_3_loc_155000000
STRIT1,155290227,155293683,chr3,chr_3_loc_155250000
C3orf33,155762617,155806278,chr3,chr_3_loc_155750000
ENSG00000284952,155763043,155854442,chr3,chr_3_loc_155750000
SLC33A1,155821024,155854456,chr3,chr_3_loc_155750000
GMPS,155870650,155944020,chr3,chr_3_loc_155750000
SSR3,156539553,156555149,chr3,chr_3_loc_156500000
TIPARP,156673235,156706770,chr3,chr_3_loc_156500000
CCNL1,157146508,157160760,chr3,chr_3_loc_157000000
PTX3,157436850,157443633,chr3,chr_3_loc_157250000
SHOX2,158095905,158106420,chr3,chr_3_loc_158000000
MLF1,158571163,158607252,chr3,chr_3_loc_158500000
GFM1,158644527,158695581,chr3,chr_3_loc_158500000
LXN,158645822,158672648,chr3,chr_3_loc_158500000
RARRES1,158696892,158732489,chr3,chr_3_loc_158500000
SCHIP1,159839861,159897360,chr3,chr_3_loc_159750000
IL12A,159988835,159996019,chr3,chr_3_loc_159750000
C3orf80,160225422,160228213,chr3,chr_3_loc_160000000
IFT80,160256986,160399880,chr3,chr_3_loc_160250000
SMC4,160399274,160434954,chr3,chr_3_loc_160250000
TRIM59,160432445,160485773,chr3,chr_3_loc_160250000
ARL14,160677160,160678448,chr3,chr_3_loc_160500000
B3GALNT1,161083883,161105411,chr3,chr_3_loc_161000000
SPTSSB,161344798,161372880,chr3,chr_3_loc_161250000
SLITRK3,165186720,165197109,chr3,chr_3_loc_165000000
BCHE,165772904,165837462,chr3,chr_3_loc_165750000
SERPINI2,167441914,167478972,chr3,chr_3_loc_167250000
PDCD10,167683298,167734939,chr3,chr_3_loc_167500000
GOLIM4,168008689,168095924,chr3,chr_3_loc_168000000
ACTRT3,169766921,169769561,chr3,chr_3_loc_169750000
MYNN,169773396,169789716,chr3,chr_3_loc_169750000
LRRC34,169793003,169812986,chr3,chr_3_loc_169750000
LRRIQ4,169812870,169837773,chr3,chr_3_loc_169750000
LRRC31,169839172,169869935,chr3,chr_3_loc_169750000
SAMD7,169911572,169939175,chr3,chr_3_loc_169750000
SEC62,169966635,169998373,chr3,chr_3_loc_169750000
GPR160,170037995,170085392,chr3,chr_3_loc_170000000
PHC3,170086732,170181749,chr3,chr_3_loc_170000000
SKIL,170357342,170396835,chr3,chr_3_loc_170250000
CLDN11,170418868,170454733,chr3,chr_3_loc_170250000
RPL22L1,170864875,170870208,chr3,chr_3_loc_170750000
EIF5A2,170888418,170908644,chr3,chr_3_loc_170750000
TMEM212,171843349,171938715,chr3,chr_3_loc_171750000
GHSR,172443291,172448456,chr3,chr_3_loc_172250000
TNFSF10,172505508,172523475,chr3,chr_3_loc_172500000
NCEH1,172630249,172711218,chr3,chr_3_loc_172500000
ECT2,172750682,172821474,chr3,chr_3_loc_172750000
TBL1XR1,177019340,177228000,chr3,chr_3_loc_177000000
PIK3CA,179148114,179240093,chr3,chr_3_loc_179000000
ZNF639,179323031,179338583,chr3,chr_3_loc_179250000
MFN1,179347709,179394936,chr3,chr_3_loc_179250000
GNB4,179396088,179451476,chr3,chr_3_loc_179250000
ACTL6A,179562886,179588407,chr3,chr_3_loc_179500000
MRPL47,179588285,179604649,chr3,chr_3_loc_179500000
NDUFB5,179604690,179627647,chr3,chr_3_loc_179500000
TTC14,180602163,180617828,chr3,chr_3_loc_180500000
CCDC39,180602858,180684942,chr3,chr_3_loc_180500000
FXR1,180868141,180982753,chr3,chr_3_loc_180750000
DNAJC19,180983697,180989774,chr3,chr_3_loc_180750000
SOX2,181711925,181714436,chr3,chr_3_loc_181500000
ATP11B,182793503,182921629,chr3,chr_3_loc_182750000
DCUN1D1,182938074,182985953,chr3,chr_3_loc_182750000
MCCC1,183015218,183116075,chr3,chr_3_loc_183000000
LAMP3,183122215,183163839,chr3,chr_3_loc_183000000
B3GNT5,183253253,183298504,chr3,chr_3_loc_183250000
KLHL24,183635610,183684519,chr3,chr_3_loc_183500000
ENSG00000283765,183815568,183884889,chr3,chr_3_loc_183750000
MAP6D1,183815922,183825594,chr3,chr_3_loc_183750000
PARL,183829271,183884933,chr3,chr_3_loc_183750000
HTR3D,184031544,184039369,chr3,chr_3_loc_184000000
HTR3C,184053047,184060673,chr3,chr_3_loc_184000000
HTR3E,184097064,184106995,chr3,chr_3_loc_184000000
EIF2B5,184135038,184146127,chr3,chr_3_loc_184000000
DVL3,184155377,184173614,chr3,chr_3_loc_184000000
AP2M1,184174689,184184214,chr3,chr_3_loc_184000000
ABCF3,184186095,184194012,chr3,chr_3_loc_184000000
VWA5B2,184229585,184242329,chr3,chr_3_loc_184000000
ALG3,184242301,184249548,chr3,chr_3_loc_184000000
CAMK2N2,184259213,184261553,chr3,chr_3_loc_184250000
ECE2,184276011,184293031,chr3,chr_3_loc_184250000
PSMD2,184299198,184309050,chr3,chr_3_loc_184250000
EIF4G1,184314495,184335358,chr3,chr_3_loc_184250000
FAM131A,184335926,184348421,chr3,chr_3_loc_184250000
CLCN2,184346185,184361650,chr3,chr_3_loc_184250000
POLR2H,184361710,184368596,chr3,chr_3_loc_184250000
THPO,184371935,184381968,chr3,chr_3_loc_184250000
CHRD,184380054,184390736,chr3,chr_3_loc_184250000
EPHB3,184561785,184582408,chr3,chr_3_loc_184500000
MAGEF1,184710364,184712064,chr3,chr_3_loc_184500000
C3orf70,185076838,185153060,chr3,chr_3_loc_185000000
MAP3K13,185282941,185489094,chr3,chr_3_loc_185250000
TMEM41A,185476496,185499057,chr3,chr_3_loc_185250000
LIPH,185506262,185552588,chr3,chr_3_loc_185500000
SENP2,185582496,185633551,chr3,chr_3_loc_185500000
TRA2B,185914558,185938103,chr3,chr_3_loc_185750000
ETV5,186046314,186110318,chr3,chr_3_loc_186000000
CRYGS,186538441,186546702,chr3,chr_3_loc_186500000
TBCCD1,186546067,186570543,chr3,chr_3_loc_186500000
DNAJB11,186567403,186585800,chr3,chr_3_loc_186500000
ENSG00000283149,186581995,186597103,chr3,chr_3_loc_186500000
AHSG,186613060,186621318,chr3,chr_3_loc_186500000
FETUB,186635969,186653141,chr3,chr_3_loc_186500000
HRG,186660216,186678234,chr3,chr_3_loc_186500000
KNG1,186717348,186744410,chr3,chr_3_loc_186500000
EIF4A2,186783205,186789897,chr3,chr_3_loc_186750000
